epoch,lr,train_loss,train_bce,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000200,0.1811,0.1808,0.0054,0.0641,0.9776,0.9974,0.9780,0.9720,0.9842,97.15
2,0.000200,0.0513,0.0512,0.0022,0.0974,0.9637,0.9983,0.9654,0.9363,0.9964,97.52
3,0.000199,0.0399,0.0399,0.0011,0.0521,0.9831,0.9983,0.9833,0.9901,0.9766,97.65
4,0.000197,0.0323,0.0323,0.0008,0.0516,0.9826,0.9984,0.9830,0.9775,0.9886,97.39
5,0.000195,0.0284,0.0284,0.0008,0.0509,0.9822,0.9988,0.9823,0.9920,0.9728,97.15
6,0.000192,0.0246,0.0246,0.0005,0.0581,0.9811,0.9991,0.9811,0.9971,0.9656,97.15
7,0.000189,0.0206,0.0205,0.0005,0.1381,0.9578,0.9989,0.9601,0.9245,0.9986,97.18
8,0.000185,0.0167,0.0166,0.0005,0.0547,0.9843,0.9989,0.9846,0.9768,0.9926,97.11
9,0.000181,0.0147,0.0147,0.0004,0.1961,0.9531,0.9989,0.9557,0.9171,0.9978,97.16
10,0.000176,0.0118,0.0118,0.0004,0.6311,0.9014,0.9948,0.9115,0.8376,0.9996,97.44
11,0.000171,0.0102,0.0102,0.0003,0.1144,0.9739,0.9985,0.9749,0.9544,0.9962,97.54
12,0.000165,0.0083,0.0082,0.0002,0.0582,0.9845,0.9991,0.9848,0.9755,0.9944,97.70
13,0.000159,0.0075,0.0075,0.0002,0.2745,0.9486,0.9980,0.9517,0.9096,0.9980,97.64
14,0.000152,0.0061,0.0061,0.0002,0.0751,0.9793,0.9991,0.9793,0.9955,0.9636,97.81
15,0.000146,0.0049,0.0049,0.0002,0.1466,0.9698,0.9988,0.9711,0.9456,0.9980,97.75
16,0.000139,0.0046,0.0046,0.0001,0.6571,0.8645,0.9989,0.8462,0.9992,0.7338,97.73
17,0.000131,0.0035,0.0035,0.0001,0.0683,0.9859,0.9992,0.9862,0.9774,0.9952,97.67
18,0.000124,0.0034,0.0034,0.0001,0.4025,0.9388,0.9961,0.9431,0.8929,0.9992,97.74
19,0.000116,0.0023,0.0023,0.0001,0.0799,0.9841,0.9992,0.9845,0.9730,0.9962,97.63
20,0.000108,0.0011,0.0011,0.0001,0.0629,0.9861,0.9989,0.9862,0.9913,0.9812,97.69
21,0.000101,0.0018,0.0018,0.0001,0.0511,0.9882,0.9993,0.9884,0.9890,0.9878,97.70
22,0.000093,0.0011,0.0011,0.0001,0.1445,0.9761,0.9980,0.9770,0.9576,0.9972,97.64
23,0.000085,0.0010,0.0010,0.0001,0.7570,0.9176,0.9871,0.9250,0.8607,0.9996,97.68
24,0.000077,0.0005,0.0005,0.0000,0.0554,0.9882,0.9993,0.9884,0.9849,0.9920,97.67
25,0.000070,0.0007,0.0007,0.0000,0.0827,0.9854,0.9988,0.9857,0.9776,0.9940,97.66
26,0.000062,0.0004,0.0004,0.0000,0.0551,0.9891,0.9992,0.9893,0.9896,0.9890,97.55
27,0.000055,0.0001,0.0000,0.0000,0.0515,0.9900,0.9993,0.9902,0.9914,0.9890,97.68
28,0.000049,0.0000,0.0000,0.0000,0.0523,0.9900,0.9993,0.9902,0.9922,0.9882,97.64
29,0.000042,0.0000,0.0000,0.0000,0.0540,0.9894,0.9993,0.9896,0.9932,0.9860,97.75
30,0.000036,0.0002,0.0002,0.0000,0.2052,0.9615,0.9991,0.9607,0.9987,0.9254,97.68
31,0.000030,0.0001,0.0001,0.0000,0.0556,0.9901,0.9991,0.9903,0.9912,0.9894,97.52
32,0.000025,0.0000,0.0000,0.0000,0.0592,0.9885,0.9993,0.9887,0.9927,0.9846,97.23
33,0.000020,0.0000,0.0000,0.0000,0.0562,0.9892,0.9993,0.9894,0.9916,0.9872,97.24
34,0.000016,0.0000,0.0000,0.0000,0.0551,0.9899,0.9993,0.9901,0.9910,0.9892,97.13
35,0.000012,0.0000,0.0000,0.0000,0.0552,0.9899,0.9993,0.9901,0.9918,0.9884,97.15
36,0.000009,0.0000,0.0000,0.0000,0.0546,0.9899,0.9993,0.9901,0.9914,0.9888,97.09
37,0.000006,0.0000,0.0000,0.0000,0.0541,0.9898,0.9993,0.9900,0.9908,0.9892,97.21
38,0.000004,0.0000,0.0000,0.0000,0.0542,0.9899,0.9993,0.9901,0.9900,0.9902,97.25
39,0.000002,0.0000,0.0000,0.0000,0.0545,0.9901,0.9993,0.9903,0.9908,0.9898,97.24
40,0.000001,0.0000,0.0000,0.0000,0.0545,0.9900,0.9992,0.9902,0.9910,0.9894,97.42
