epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0246,0.0245,0.0019,0.0342,0.7492,0.9757,0.8013,0.6705,0.9954,1277.17
2,0.000099,0.0075,0.0074,0.0020,0.0093,0.9440,0.9954,0.9473,0.9084,0.9896,1320.48
3,0.000098,0.0045,0.0045,0.0014,0.0043,0.9776,0.9975,0.9779,0.9790,0.9768,1256.41
4,0.000095,0.0032,0.0032,0.0012,0.0053,0.9711,0.9975,0.9720,0.9564,0.9880,1321.24
5,0.000091,0.0025,0.0025,0.0011,0.2224,0.5236,0.9936,0.6807,0.5160,1.0000,1320.74
6,0.000086,0.0019,0.0019,0.0009,0.0144,0.9143,0.9971,0.9218,0.8588,0.9948,1273.31
7,0.000080,0.0014,0.0014,0.0009,0.0036,0.9825,0.9988,0.9830,0.9720,0.9942,1269.36
8,0.000073,0.0010,0.0009,0.0009,0.0062,0.9720,0.9987,0.9717,0.9983,0.9464,1277.00
9,0.000066,0.0007,0.0007,0.0008,0.0037,0.9808,0.9983,0.9812,0.9744,0.9882,1345.51
10,0.000058,0.0006,0.0006,0.0007,0.0095,0.9670,0.9968,0.9665,0.9970,0.9378,1319.98
11,0.000051,0.0005,0.0004,0.0006,0.0067,0.9646,0.9988,0.9662,0.9379,0.9962,1362.84
12,0.000043,0.0003,0.0003,0.0006,0.0060,0.9755,0.9989,0.9754,0.9977,0.9540,1249.25
13,0.000035,0.0002,0.0002,0.0005,0.0125,0.9332,0.9988,0.9382,0.8842,0.9992,1323.35
14,0.000028,0.0002,0.0002,0.0005,0.0076,0.9709,0.9989,0.9706,0.9983,0.9444,1322.13
15,0.000021,0.0001,0.0001,0.0004,0.0031,0.9854,0.9990,0.9855,0.9945,0.9766,1274.77
16,0.000015,0.0001,0.0001,0.0004,0.0024,0.9888,0.9991,0.9890,0.9912,0.9868,1334.37
17,0.000010,0.0001,0.0001,0.0004,0.0028,0.9873,0.9990,0.9874,0.9935,0.9814,1274.73
18,0.000006,0.0001,0.0001,0.0004,0.0032,0.9838,0.9991,0.9843,0.9743,0.9944,1256.43
19,0.000003,0.0001,0.0001,0.0004,0.0025,0.9883,0.9991,0.9885,0.9919,0.9850,1294.06
20,0.000002,0.0001,0.0001,0.0004,0.0024,0.9889,0.9991,0.9891,0.9898,0.9884,1249.93
Test_Set,-,-,-,-,-,0.9877,0.9985,0.9879,0.9886,0.9872,-
