epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0232,0.0232,0.0005,0.0163,0.8887,0.9859,0.9003,0.8260,0.9892,1328.05
2,0.000099,0.0074,0.0074,0.0003,0.0118,0.9249,0.9955,0.9309,0.8741,0.9956,1312.41
3,0.000098,0.0046,0.0046,0.0002,0.0238,0.8598,0.9930,0.8406,0.9951,0.7276,1295.75
4,0.000095,0.0035,0.0035,0.0002,0.0103,0.9415,0.9970,0.9391,0.9957,0.8886,1349.65
5,0.000091,0.0027,0.0027,0.0002,0.0044,0.9746,0.9979,0.9754,0.9610,0.9902,1286.15
6,0.000086,0.0022,0.0022,0.0001,0.0034,0.9813,0.9983,0.9815,0.9857,0.9774,1179.99
7,0.000080,0.0017,0.0017,0.0001,0.0055,0.9684,0.9988,0.9680,0.9970,0.9406,1290.47
8,0.000073,0.0013,0.0013,0.0001,0.0032,0.9826,0.9989,0.9827,0.9935,0.9722,1290.64
9,0.000066,0.0011,0.0011,0.0001,0.0233,0.8788,0.9978,0.8646,0.9992,0.7620,1357.53
10,0.000058,0.0008,0.0008,0.0001,0.0046,0.9757,0.9989,0.9766,0.9572,0.9968,1336.42
11,0.000051,0.0007,0.0006,0.0000,0.0423,0.8722,0.9989,0.8882,0.7993,0.9994,1344.60
12,0.000043,0.0005,0.0005,0.0000,0.0077,0.9652,0.9988,0.9668,0.9378,0.9976,1311.37
13,0.000035,0.0004,0.0004,0.0000,0.0037,0.9818,0.9989,0.9823,0.9694,0.9956,1339.60
14,0.000028,0.0003,0.0003,0.0000,0.0070,0.9670,0.9990,0.9685,0.9406,0.9980,1307.36
15,0.000021,0.0002,0.0002,0.0000,0.0027,0.9861,0.9992,0.9862,0.9937,0.9788,1268.60
16,0.000015,0.0002,0.0002,0.0000,0.0023,0.9886,0.9992,0.9888,0.9886,0.9890,1279.99
17,0.000010,0.0002,0.0002,0.0000,0.0026,0.9863,0.9992,0.9866,0.9795,0.9938,1305.00
18,0.000006,0.0002,0.0002,0.0000,0.0024,0.9876,0.9992,0.9879,0.9828,0.9930,1227.20
19,0.000003,0.0002,0.0002,0.0000,0.0023,0.9879,0.9992,0.9881,0.9845,0.9918,1359.19
20,0.000002,0.0002,0.0002,0.0000,0.0023,0.9888,0.9992,0.9890,0.9886,0.9894,1277.86
Test_Set,-,-,-,-,-,0.9882,0.9991,0.9884,0.9865,0.9904,-
